mcid,program,peer_group
MCID3111410158,Mechanical,starters
MCID3111410675,Electrical,starters
MCID3111410699,Mechanical,starters
MCID3111411139,Electrical,starters
MCID3111411545,Mechanical,starters
MCID3111411867,Mechanical,starters
MCID3111411887,Mechanical,starters
MCID3111411910,Electrical,starters
MCID3111411914,Civil,starters
MCID3111412349,Industrial,starters
MCID3111412376,Industrial,starters
MCID3111412391,Civil,starters
MCID3111412392,Civil,starters
MCID3111412394,Civil,starters
MCID3111412708,Electrical,starters
MCID3111412721,Mechanical,starters
MCID3111412728,Mechanical,starters
MCID3111412744,Civil,starters
MCID3111412771,Civil,starters
MCID3111412783,Mechanical,starters
MCID3111412795,Civil,starters
MCID3111412970,Electrical,starters
MCID3111413353,Electrical,starters
MCID3111413359,Civil,starters
MCID3111413510,Electrical,starters
MCID3111413515,Mechanical,starters
MCID3111413559,Civil,starters
MCID3111413770,Electrical,starters
MCID3111413785,Electrical,starters
MCID3111413916,Electrical,starters
MCID3111413971,Mechanical,starters
MCID3111413974,Civil,starters
MCID3111413978,Electrical,starters
MCID3111414068,Electrical,starters
MCID3111417769,Mechanical,starters
MCID3111417892,Mechanical,starters
MCID3111418143,Civil,starters
MCID3111418505,Mechanical,starters
MCID3111419160,Civil,starters
MCID3111419166,Electrical,starters
MCID3111419215,Mechanical,starters
MCID3111419231,Mechanical,starters
MCID3111419341,Mechanical,starters
MCID3111419511,Civil,starters
MCID3111419518,Electrical,starters
MCID3111419633,Civil,starters
MCID3111419666,Electrical,starters
MCID3111419673,Electrical,starters
MCID3111419683,Mechanical,starters
MCID3111419718,Mechanical,starters
MCID3111419727,Civil,starters
MCID3111419837,Civil,starters
MCID3111419936,Civil,starters
MCID3111419991,Mechanical,starters
MCID3111420021,Civil,starters
MCID3111420091,Electrical,starters
MCID3111420205,Mechanical,starters
MCID3111420247,Mechanical,starters
MCID3111420684,Civil,starters
MCID3111420740,Electrical,starters
MCID3111420754,Civil,starters
MCID3111420766,Civil,starters
MCID3111420835,Electrical,starters
MCID3111420909,Civil,starters
MCID3111420977,Mechanical,starters
MCID3111421002,Electrical,starters
MCID3111421110,Electrical,starters
MCID3111421169,Mechanical,starters
MCID3111421313,Civil,starters
MCID3111421337,Electrical,starters
MCID3111421388,Civil,starters
MCID3111421570,Electrical,starters
MCID3111421642,Electrical,starters
MCID3111421661,Civil,starters
MCID3111421711,Civil,starters
MCID3111421741,Electrical,starters
